tableName	attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	LegacyName	DataType	DataSize	Sort
Chemistry	CharacteristicLabel	"Water chemistry parameter description; e.g., total phosphorus, sulfate"	character						Text	50	134
Chemistry	LabValue	Measured value of water quality parameter	numeric	number					Double	8	135
Chemistry	ReportingGroup	"Water chemistry parameter reporting group: Nutrient, Ion, NA"	character						Text	10	136
Chemistry	SampleType	"The type of sample: R - routine, FB - field blank, FR - field replicate, LD - lab duplicate"	character						Text	50	137
Chemistry	Flag	"Data quality flag: No Flag, Information, Warning, Critical"	character					DQF	Text	5	138
Chemistry	FlagNote	Notes about the water chemistry parameter DQF	character					DQFNote	Memo	-	139
Chemistry	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	140
Chemistry	Unit	"Water chemistry parameter unit; e.g., mg/L"	character						Text	15	141
Clarity	Park	Four letter park code	character						Text	5	142
Clarity	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	143
Clarity	SiteCode	Unique alphanumeric site code	character						Text	24	144
Clarity	SiteName	Descriptive name of the site	character						Text	50	145
Clarity	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date/Time	8	146
Clarity	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	147
Clarity	IsLakeDry	Binary observation of water presence/absence	character						Bit	1	148
Clarity	SurfaceCalm	"Is the surface calm - Yes, No, or NoData"	character						Text	5	149
Clarity	OnBottom	"Is Secchi disk visible on the bottom? Y - yes, N- no"	character						Text	5	150
Clarity	DepthToBottom_m	Depth to the bottom of the lake (if applicable)	numeric	meter					Decimal	16	151
Clarity	SecchiDepth_m	Depth where the Secchi disk becomes visible/invisible when ascending/descending (if applicable)	character	meter					Text	38	152
Clarity	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	153
Clarity	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	154
LakeLevelString	Park	Four letter park code	character						Text	5	155
LakeLevelString	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	156
LakeLevelString	SiteCode	Unique alphanumeric site code	character						Text	24	157
LakeLevelString	SiteName	Descriptive name of the site	character						Text	50	158
LakeLevelString	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		159
LakeLevelString	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	160
LakeLevelString	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	161
LakeLevelString	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	162
LakeLevelString	Benchmark	Name of the benchmark used as reference mark 1	character						Text	50	163
LakeLevelString	RM1_GivenElevation_m	Elevation of reference mark one on artifical scale	numeric	meter					Float		164
LakeLevelString	IsLakeDry	Binary observation of water presence/absence	character						Bit	1	165
LakeLevelString	Height_ft	Lake level in feet	numeric	foot					Decimal	2	166
LakeLevelSurvey	Park	Four letter park code	character						Text	5	167
LakeLevelSurvey	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	168
LakeLevelSurvey	SiteCode	Unique alphanumeric site code	character						Text	24	169
LakeLevelSurvey	SiteName	Descriptive name of the site	character						Text	50	170
LakeLevelSurvey	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		171
LakeLevelSurvey	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	172
LakeLevelSurvey	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	173
LakeLevelSurvey	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	174
LakeLevelSurvey	Instrument	Identifier for the specific theodolite used for this survey	character						Text	50	175
LakeLevelSurvey	RodMaterial	Primary material the rod is made of	character						Text	50	176
LakeLevelSurvey	CTE	Coefficient of thermal expansion of the rod	numeric	dimensionless					Float		177
LakeLevelSurvey	InstrumentOperator	Initals of the instrument operator	character						Text	4	178
LakeLevelSurvey	RodOperator	Initials of the rod operator	character						Text	4	179
LakeLevelSurvey	AdditionalCrew	Initials of any additional crew	character						Text	50	180
LakeLevelSurvey	NumberOfInstrumentSetups	Number of instrument setups used during this survey	numeric	number					TinyInt		181
LakeLevelSurvey	RodTemperatureSetup1_F	Temperature of rod at beginning of circuit	numeric	fahrenheit					Decimal	1	182
LakeLevelSurvey	RodTemperatureSetup2_F	Temperature of rod in middle of circuit	numeric	fahrenheit					Decimal	1	183
LakeLevelSurvey	RodTemperatureSetup3_F	Temperature of rod at end of circuit	numeric	fahrenheit					Decimal	1	184
LakeLevelSurvey	NumberOfBenchmarksUsed	Number of benchmarks used in the survey	numeric	number					TinyInt		185
LakeLevelSurvey	RM1_GivenElevation_m	Elevation of reference mark one on artifical scale	numeric	meter					Float		186
LakeLevelSurvey	RM1	Name of benchmark used for this reference mark	character						Text	50	187
LakeLevelSurvey	RM2	Name of benchmark used for this reference mark	character						Text	50	188
LakeLevelSurvey	RM3	Name of benchmark used for this reference mark	character						Text	50	189
LakeLevelSurvey	RM4	Name of benchmark used for this reference mark	character						Text	50	190
LakeLevelSurvey	RM5	Name of benchmark used for this reference mark	character						Text	50	191
LakeLevelSurvey	RM6	Name of benchmark used for this reference mark	character						Text	50	192
LakeLevelSurvey	SurveyPointType	Description of what function this survey point served	character						Text	12	193
LakeLevelSurvey	Height_ft	Lake level in feet	numeric	foot					Decimal	3	194
LakeLevel_CALCULATED	Park	Four letter park code	character						Text	5	195
LakeLevel_CALCULATED	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	196
LakeLevel_CALCULATED	SiteCode	Unique alphanumeric site code	character						Text	24	197
LakeLevel_CALCULATED	SiteName	Descriptive name of the site	character						Text	50	198
LakeLevel_CALCULATED	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		199
LakeLevel_CALCULATED	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	200
LakeLevel_CALCULATED	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	201
LakeLevel_CALCULATED	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	202
LakeLevel_CALCULATED	SurveyType	"Survey methodology [String, Theodolite]"	character						Text	20	203
LakeLevel_CALCULATED	BenchmarkUsed	Benchmark that the final elevation is tied to	character						Text	50	204
LakeLevel_CALCULATED	ClosureError_ft	Closure error of the circuit	numeric	foot					Decimal		205
LakeLevel_CALCULATED	FinalElevation_ft	Final calculated lake surface elevation	numeric	foot					Decimal		206
WaterQualityDO	Park	Four letter park code	character						Text	5	207
WaterQualityDO	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	208
WaterQualityDO	SiteCode	Unique alphanumeric site code	character						Text	24	209
WaterQualityDO	SiteName	Descriptive name of the site	character						Text	50	210
WaterQualityDO	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		211
WaterQualityDO	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	212
WaterQualityDO	WQDataCollected	Yes or reason for sampling failure	character						Text	25	213
WaterQualityDO	MeasurementNum	Index of measurement	numeric	number					Integer		214
WaterQualityDO	MeasurementDepth_m	Depth to measurement location	numeric	meter					Decimal	2	215
WaterQualityDO	DissolvedOxygen_percent	Measured value of DO %	numeric	percent					Decimal	2	216
WaterQualityDO	DissolvedOxygen_mg_per_L	Measured value of DO in mg/L	numeric	milligramPerLiter					Decimal	2	217
WaterQualityDO	Flag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	218
WaterQualityDO	FlagNote	Description of data quality issue	character						Text	2000	219
WaterQualityDO	DOInstrument	Identifier for instrument used to measure DO	character						Text	50	220
WaterQualityDO	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	221
WaterQualityDO	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	222
WaterQualityDO	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character						Text	35	223
WaterQualitypH	Park	Four letter park code	character						Text	5	224
WaterQualitypH	SiteShort	Site code without the Park and Site Type prefix	character						Text	20	225
WaterQualitypH	SiteCode	Unique alphanumeric site code	character						Text	24	226
WaterQualitypH	SiteName	Descriptive name of the site	character						Text	50	227
WaterQualitypH	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		228
WaterQualitypH	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	229
WaterQualitypH	WQDataCollected	Yes or reason for sampling failure	character						Text	25	230
WaterQualitypH	MeasurementNum	Index of measurement	numeric	number					Integer		231
WaterQualitypH	MeasurementDepth_m	Depth to measurement location	numeric	meter					Decimal	2	232
WaterQualitypH	pH	Measured value of pH	numeric	dimensionless					Decimal	2	233
WaterQualitypH	Flag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	234
WaterQualitypH	FlagNote	Description of data quality issue	character						Text	2000	235
WaterQualitypH	pHInstrument	Identifier for instrument used to measure pH	character						Text	50	236
WaterQualitypH	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	237
WaterQualitypH	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	238
WaterQualitypH	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character						Text	35	239
WaterQualitySpCond	Park	Four letter park code	character						Text	5	240
WaterQualitySpCond	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	241
WaterQualitySpCond	SiteCode	Unique alphanumeric site code	character						Text	24	242
WaterQualitySpCond	SiteName	Descriptive name of the site	character						Text	50	243
WaterQualitySpCond	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		244
WaterQualitySpCond	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	245
WaterQualitySpCond	WQDataCollected	Yes or reason for sampling failure	character						Text	25	246
WaterQualitySpCond	MeasurementNum	Index of measurement	numeric	number					Integer		247
WaterQualitySpCond	MeasurementDepth_m	Depth to measurement location	numeric	meter					Decimal	2	248
WaterQualitySpCond	SpecificConductance_microS_per_cm	Measured value of specific conductance in uS/cm	numeric	microsiemensPerCentimeter					Decimal	1	249
WaterQualitySpCond	Flag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	250
WaterQualitySpCond	FlagNote	Description of data quality issue	character						Text	2000	251
WaterQualitySpCond	SpCondInstrument	Identifier for instrument used to measure specific conductance	character						Text	50	252
WaterQualitySpCond	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	253
WaterQualitySpCond	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	254
WaterQualitySpCond	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character						Text	35	255
WaterQualityTemperature	Park	Four letter park code	character						Text	5	256
WaterQualityTemperature	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	257
WaterQualityTemperature	SiteCode	Unique alphanumeric site code	character						Text	24	258
WaterQualityTemperature	SiteName	Descriptive name of the site	character						Text	50	259
WaterQualityTemperature	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		260
WaterQualityTemperature	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	261
WaterQualityTemperature	WQDataCollected	Yes or reason for sampling failure	character						Text	25	262
WaterQualityTemperature	MeasurementNum	Index of measurement	numeric	number					Integer		263
WaterQualityTemperature	MeasurementDepth_m	Depth to measurement location	numeric	meter					Decimal	2	264
WaterQualityTemperature	WaterTemperature_C	Measured value of temperatue in celcius degrees	numeric	celsius					Decimal	2	265
WaterQualityTemperature	Flag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	266
WaterQualityTemperature	FlagNote	Description of data quality issue	character						Text	2000	267
WaterQualityTemperature	TempInstrument	Identifier for instrument used to measure temperature	character						Text	50	268
WaterQualityTemperature	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	269
WaterQualityTemperature	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	270
WaterQualityTemperature	MonitoringStatus	Result of monitoring visit: Sampled or reason unable to sample	character						Text	35	271
WaterQuality_CALCULATED	Park	Four letter park code	character						Text	5	272
WaterQuality_CALCULATED	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character						Text	8	273
WaterQuality_CALCULATED	SiteCode	Unique alphanumeric site code	character						Text	24	274
WaterQuality_CALCULATED	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date		275
WaterQuality_CALCULATED	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	276
WaterQuality_CALCULATED	SampleFrame	"Type of hydrologic feature (e.g., lake, stream)"	character					SiteType	Text	25	277
WaterQuality_CALCULATED	MeasurementDepth_m	Depth to measurement location	numeric	meter					Decimal	2	278
WaterQuality_CALCULATED	TemperatureFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	279
WaterQuality_CALCULATED	FlagNote	Description of data quality issue	character						Text	2000	280
WaterQuality_CALCULATED	DPL	"Level of data processing applied to this data [Raw, Provisional, Accepted, Certified]"	character						Text	20	281
WaterQuality_CALCULATED	TemperatureMedian_C	Median measured value of temperatue in celcius degrees	numeric	celsius					Decimal	2	282
WaterQuality_CALCULATED	TemperatureCount	Number of measurements taken	numeric	number					Integer		283
WaterQuality_CALCULATED	SpCondFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	284
WaterQuality_CALCULATED	SpCondMedian_microS_per_cm	Median measured value of specific conductance in uS/cm	numeric	microsiemensPerCentimeter					Decimal	1	285
WaterQuality_CALCULATED	SpCondCount	Number of measurements taken	numeric	number					Integer		286
WaterQuality_CALCULATED	pHFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	287
WaterQuality_CALCULATED	pHMedian	Median measured value of pH	numeric	dimensionless					Decimal	2	288
WaterQuality_CALCULATED	pHCount	Number of measurements taken	numeric	number					Integer		289
WaterQuality_CALCULATED	DOFlag	"Data quality flag: No Flag, Information, Warning, Critical"	character						Text	5	290
WaterQuality_CALCULATED	DOMedian_percent	Median measured value of DO %	numeric	percent					Decimal	2	291
WaterQuality_CALCULATED	DOMedian_mg_per_L	Median measured value of DO in mg/L	numeric	milligramPerLiter					Decimal	2	292
WaterQuality_CALCULATED	DOPercentCount	Number of measurements taken	numeric	number					Integer		293
WaterQuality_CALCULATED	DOmgLCount	Number of measurements taken	numeric	number					Integer		294
WQStreamXSection	Park	Four letter park code	character						Text	5	295
WQStreamXSection	SiteShort	Site code without the Park and Site Type prefix	character					Site	Text	20	296
WQStreamXSection	SiteCode	Unique alphanumeric site code	character						Text	24	297
WQStreamXSection	SiteName	Descriptive name of the site	character						Text	50	298
WQStreamXSection	FieldSeason	Field Season is typically the Water Year defined as Oct. 1st - Sept. 30th	character					WaterYear	Text	8	299
WQStreamXSection	VisitDate	Date that the monitoring occured	Date		YYYY-MM-DD				Date/Time	8	300
WQStreamXSection	VisitType	"Purpose of visit: Primary, Replicate, Training, Calibration, Auxilliary, Unknown"	character						Text	25	301
