attributeName	attributeDefinition	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	class
FixedCount	# of computationally resampled organisms	NA	NA	NA	Not applicable or data not collected	numeric
BigRareCount	# of ""big and rare"" organisms selected non-randomly for identification from the sample	NA	NA	NA	Not applicable or data not collected	numeric
ShannonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward rare species	NA	NA	NA	Not applicable or data not collected	numeric
SimpsonsDiversity	Measure of richness and evenness (based on relative abundance of each species); weighted toward common species	NA	NA	NA	Not applicable or data not collected	numeric
Evenness	Measure of relative abundance indicative of taxa dominance [Shannon's Diversity]/ln([Richness])	NA	NA	NA	Not applicable or data not collected	numeric
EPTTaxaCount	Richness of Ephemeroptera, Plecoptera, and Trichoptera taxa	NA	NA	NA	Not applicable or data not collected	numeric
EPTTaxaAbundance	Abundance of Ephemeroptera, Plecoptera, and Trichoptera taxa	NA	NA	NA	Not applicable or data not collected	numeric
DominantFamilyAbundance	Abundance of the dominant family	NA	NA	NA	Not applicable or data not collected	numeric
DominantFamily	Taxonomic family with the highest abundance	NA	NA	NA	Not applicable or data not collected	character
DominantTaxa	Taxon with the highest abundance	NA	NA	NA	Not applicable or data not collected	character
DominantTaxaAbundance	Abundance of dominant taxon	NA	NA	NA	Not applicable or data not collected	numeric
Hilsenhoff	Abundance-weighted average of family-level pollution tolerances	NA	NA	NA	Not applicable or data not collected	numeric
IntolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of <= 2	NA	NA	NA	Not applicable or data not collected	numeric
IntolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of <= 2	NA	NA	NA	Not applicable or data not collected	numeric
TolerantTaxaCount	# of taxa with a Hilsenhoff Biotic Index score of >=8	NA	NA	NA	Not applicable or data not collected	numeric
TolerantTaxaAbundance	Abundance of taxa with a Hilsenhoff Biotic Index score of >=8	NA	NA	NA	Not applicable or data not collected	numeric
USFSCommunityToleranceQuo	Dominance weighted community tolerance quotient	NA	NA	NA	Not applicable or data not collected	numeric
ShredderTaxaCount	# of taxa utilizing living or decomposing vascular plant tissue and coarse particulate organic matter (CPOM)	NA	NA	NA	Not applicable or data not collected	numeric
ShredderAbundance	Abundance of taxa utilizing valsular plant tissue and coarse particulate organic matter (CPOM)	NA	NA	NA	Not applicable or data not collected	numeric
ScraperTaxaCount	# of taxa utilizing periphyton, particularly algae and diatoms	NA	NA	NA	Not applicable or data not collected	numeric
ScraperAbundance	Abundance of taxa utilizing periphyton, particularly algae and diatoms	NA	NA	NA	Not applicable or data not collected	numeric
CollectorFiltererCount	# of taxa utilizing fine particulate organic matter in the water column	NA	NA	NA	Not applicable or data not collected	numeric
CollectorFiltererAbundance	Abundance of taxa utilizing fine particulate organic matter in the water column	NA	NA	NA	Not applicable or data not collected	numeric
CollectorGathererCount	# of taxa utilizing fine particulate organic matter from benthic deposits	NA	NA	NA	Not applicable or data not collected	numeric
CollectorGathererAbundance	Abundance of taxa utilizing fine particulate organic matter from benthic deposits	NA	NA	NA	Not applicable or data not collected	numeric
PredatorTaxaCount	# of taxa utilizing living animal tissue	NA	NA	NA	Not applicable or data not collected	numeric
PredatorTaxaAbundance	Abundance of taxa utilizing living animal tissue	NA	NA	NA	Not applicable or data not collected	numeric
ClingerTaxaCount	# of taxa with fixed retreats or other strategies for clinging to rocks	NA	NA	NA	Not applicable or data not collected	numeric
LongLivedTaxa	# of taxa with 2 to 3 year life cycles	NA	NA	NA	Not applicable or data not collected	numeric
EphemeropteraTaxaCount	# of Ephemeroptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
EphemeropteraTaxaAbundance	Abundance of Ephemeroptera	NA	NA	NA	Not applicable or data not collected	numeric
PlecopteraTaxa	# of Plecoptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
PlecopteraTaxaAbundance	Abundance of Plecoptera	NA	NA	NA	Not applicable or data not collected	numeric
TrichopteraTaxaCount	# of Tricoptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
TrichopteraAbundance	Abundance of Tricoptera	NA	NA	NA	Not applicable or data not collected	numeric
ColeopteraTaxaCount	# of Coleoptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
ColeopteraAbundance	Abundance of Coleoptera	NA	NA	NA	Not applicable or data not collected	numeric
ElmidaeTaxaCount	# of Elmidae taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
ElmidaeAbundance	Abundance of Elmidae	NA	NA	NA	Not applicable or data not collected	numeric
MegalopteraTaxaCount	# of Megaloptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
MegalopteraAbundance	Abundance of Megaloptera	NA	NA	NA	Not applicable or data not collected	numeric
DipteraTaxaCount	# of Diptera taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
DipteraAbundance	Abundance of Diptera	NA	NA	NA	Not applicable or data not collected	numeric
ChironomidaeTaxaCount	# of Chironomidae taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
ChironomidaeAbundance	Abundance of Chironomidae	NA	NA	NA	Not applicable or data not collected	numeric
CrustaceaTaxaCount	# of Crustacea taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
CrustaceaAbundance	Abundance of Crustacea	NA	NA	NA	Not applicable or data not collected	numeric
OligochaeteTaxaCount	# of Oligochaete taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
OligochaeteAbundance	Abundance of Oligochaete	NA	NA	NA	Not applicable or data not collected	numeric
MolluscaTaxaCount	# of Mollusca taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
MolluscaAbundance	Abundance of Mollusca	NA	NA	NA	Not applicable or data not collected	numeric
InsectTaxaCount	# of insect taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
InsectAbundance	Abundance of insects	NA	NA	NA	Not applicable or data not collected	numeric
NonInsectTaxaCount	# of non-insect taxa in the sample	NA	NA	NA	Not applicable or data not collected	numeric
NonInsectAbundance	Abundance of non-insects	NA	NA	NA	Not applicable or data not collected	numeric
LabName	Name of lab analyzing samples	NA	NA	NA	Not applicable or data not collected	character
